block,experiment,label_fraction,seed,n_labeled,linear_accuracy,linear_f1_macro,linear_auroc,linear_auprc,linear_sensitivity,linear_specificity,linear_ece,linear_brier_score,mahal_accuracy,mahal_f1_macro,mahal_auroc,mahal_auprc,mahal_sensitivity,mahal_specificity,mahal_ece,mahal_brier_score
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.05,2,6645,0.8225037941622843,0.8204310996571635,0.9018303602311306,0.9348687913560982,0.7965768971228759,0.8577958776595744,0.0221586297443437,0.2498761298499087,0.821833198037624,0.8203000991820435,0.8994820352890829,0.9303087933090683,0.7875590454573339,0.8676030585106383,0.277314021183397,0.4365850790226605
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.1,0,13290,0.8201743549924116,0.8180097434352976,0.9040667181444946,0.9365306596487752,0.7842463652536654,0.8668550531914894,0.0142658781312963,0.2471475249915869,0.8211626019129636,0.8195505029520931,0.9031490020028792,0.9333642457830832,0.7786025397214895,0.8745844414893617,0.2793157405513034,0.4394198819728497
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.1,1,13290,0.8225037941622843,0.8206088402333666,0.9030677461782792,0.9354353021136464,0.8030182197411202,0.8494015957446809,0.014474112733595,0.2484472466589221,0.822080259767762,0.8206774072380801,0.901987859991294,0.9318835527551724,0.7865775105821728,0.8700132978723404,0.2797910440221315,0.4391242554368733
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.1,2,13290,0.8229273285568065,0.8209626737577441,0.9022655074270995,0.9351084904604324,0.7717931415250598,0.8848071808510638,0.0150715091348654,0.2485301942395976,0.8231038012211909,0.821646613870094,0.9006189922593184,0.9315177139635504,0.7790319612293725,0.8803191489361702,0.2804668012235194,0.438902505690062
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.25,0,33225,0.823315568418452,0.8212701420053256,0.9050971788459004,0.9368378842517456,0.7934482547083,0.8622007978723404,0.0120802754008878,0.2458352023066492,0.823068506688314,0.8214879770709816,0.9032450130735354,0.9328628884461668,0.7727746764002208,0.886220079787234,0.2813251632650281,0.4396308812737041
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.25,1,33225,0.8258567747855857,0.823912756068059,0.9060629183678196,0.9370057934433956,0.7894607692779584,0.8719248670212766,0.0125561636116176,0.2442791791488039,0.8238802809444817,0.8224522441610509,0.90384547103069,0.9332106588107156,0.7863934727930801,0.8740026595744681,0.2823334759887709,0.4398176663565873
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.25,2,33225,0.8231390957540677,0.8209709392297999,0.9041436554848484,0.936698558363168,0.7854732838476167,0.8737533244680851,0.0126680223579832,0.2460596099900641,0.8235979246814669,0.8220017813858005,0.9022798420415732,0.9331853341556045,0.7743696705723575,0.8824800531914894,0.2814319062576442,0.4391857433052542
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.5,0,66450,0.825786185719832,0.823734202502493,0.90667372131262,0.937974558236627,0.7917305686767683,0.8688497340425532,0.0111539118845356,0.2433114667293708,0.8249038223979106,0.8233913332634446,0.90432490945765,0.9338649627037144,0.7969449727010612,0.8629488031914894,0.2833008426770657,0.4396270185771582
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.5,1,66450,0.8264920763773691,0.8244375703629776,0.906412057876948,0.9374738404321978,0.7760260106741917,0.8853889627659575,0.0104786310414982,0.2434167922647549,0.8257155966540782,0.8242112776977734,0.9043697181929512,0.9338347713481848,0.7967609349119686,0.8646941489361702,0.2843230975904791,0.4399187220399564
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.5,2,66450,0.8245861716020189,0.8225364320586913,0.9058335390434212,0.937510061092908,0.7769461996196553,0.8842253989361702,0.0104383071019413,0.2441886635249253,0.8234920410828362,0.821941438010777,0.903660043882734,0.9337734476263752,0.7769461996196553,0.8815658244680851,0.2816863312666565,0.4394859168788855
